buy-buy,buy-no trade,buy-sell,no trade-buy,no trade-no trade,no trade-sell,sell-buy,sell-no trade,sell-sell,date
3,9,10,1,1,1,10,3,2,180706_1-1
6,0,8,6,2,6,10,1,1,180706_2-2
0,0,1,8,2,8,0,0,1,180713_1-2
2,3,4,3,1,8,4,3,12,180713_2-2
2,1,6,2,1,4,5,9,10,180713_3-1
0,0,5,11,7,11,5,1,0,180720_1-2
0,10,5,0,8,1,5,11,0,180720_2-1
1,0,9,6,0,10,13,0,1,180720_3-2
3,7,9,0,0,0,8,9,4,180720_4-1
2,2,5,9,5,7,5,3,2,180720_5-2
0,8,7,3,5,2,6,8,1,180720_6-1
4,0,12,5,0,2,11,0,6,180724_1-2
4,5,11,0,0,0,12,3,5,180724_2-1
6,2,2,7,3,10,5,1,4,180724_3-2
1,10,6,3,3,0,6,7,4,180724_4-1
0,1,10,11,6,7,4,1,0,180724_5-2
1,12,2,1,4,4,8,8,0,180724_6-1
3,2,9,5,1,6,6,2,6,180724_7-2
4,5,6,1,1,3,10,6,4,180724_8-1
1,3,9,7,3,6,7,4,0,180724_9-2
1,3,11,4,6,0,8,7,0,180724_10-1
6,2,9,5,2,2,6,7,1,180724_11-1
2,4,12,7,3,0,8,3,1,180724_12-2
0,6,9,2,5,1,15,2,0,180731_1-1
2,3,12,8,2,3,5,3,2,180731_2-2
3,4,12,2,3,1,10,3,2,180731_3-1
3,0,11,4,4,2,12,3,1,180731_4-2
0,0,2,18,0,18,2,0,0,180803_1-1
0,18,2,0,0,0,2,18,0,180803_2-2
3,0,14,0,1,3,17,0,2,180803_3-1
2,1,16,1,0,0,15,3,2,180803_4-2
0,3,10,4,8,5,10,0,0,180803_5-1
0,8,6,4,5,3,8,4,2,180803_6-2
4,7,4,3,6,1,6,6,3,180807_1-1
2,3,9,7,8,3,6,0,2,180807_2-2
0,2,12,5,2,6,13,0,0,180809_1-1
3,6,9,3,1,0,8,6,4,180809_2-2
6,2,19,2,0,0,7,1,3,180809_3-1
8,1,6,3,0,1,16,1,4,180809_4-2
3,11,2,1,13,3,2,4,1,180810_1-1
1,3,2,9,13,6,5,1,0,180810_2-2
2,5,9,2,3,2,8,9,0,180810_3-1
0,3,9,7,2,7,10,2,0,180810_4-2
1,4,7,7,5,5,6,5,0,180814_1-1
1,7,6,4,6,4,8,4,0,180814_2-2
2,3,11,3,8,1,7,5,0,180814_3-1
3,3,6,5,5,6,8,4,0,180814_4-2
0,12,3,3,13,2,1,6,0,180814_5-1
0,1,2,13,14,5,3,2,0,180814_6-2
0,3,10,5,4,6,10,1,1,180814_7-1
0,3,12,1,7,1,12,4,0,180814_8-2
5,13,8,0,0,0,3,10,1,180817_1-2
0,0,7,17,0,7,9,0,0,180817_2-1
3,4,7,5,8,1,4,7,1,180817_3-1
3,4,5,6,7,6,5,3,1,180817_4-2
3,3,10,4,5,3,7,4,1,180820_1-1
1,2,10,5,5,3,9,5,0,180820_2-2
2,4,9,8,4,4,4,5,0,180820_3-1
2,7,6,5,4,3,8,4,1,180820_4-2
6,7,6,0,0,2,5,9,5,180821_1-1
6,0,5,8,1,8,6,1,5,180821_2-2
4,7,3,3,3,7,8,5,0,180821_3-1
5,2,8,3,8,4,5,3,2,180821_4-2
3,3,9,7,2,2,7,5,2,180821_5-1
3,8,6,3,2,5,10,1,2,180821_6-2
1,6,5,9,7,1,2,9,0,180827_1-1
3,0,8,6,15,2,4,2,0,180827_2-2
1,4,9,9,6,3,4,3,1,180827_3-1
0,9,5,4,7,2,10,3,0,180827_4-2